"social","econ","service","immigration","education","destination","candidate","id","age","gender","ideology","likely","interest","aus","can","us","survey","dice"
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,47,19,"Male",5,4,7,4,7,6,"India",7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,48,19,"Female",4,4,5,4,5,5,"India",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",1,1,49,19,"Female",5,6,7,4,4,5,"India",5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,50,19,"Female",7,5,6,5,5,5,"India",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",0,1,51,19,"Female",5,2,6,5,6,5,"India",9
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,52,20,"Female",6,4,6,3,4,5,"India",10
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",0,1,53,20,"Male",3,7,5,5,7,6,"India",8
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 40th Percentile",0,1,54,19,"Female",3,4,6,5,5,3,"India",5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,55,20,"Male",8,2,5,5,4,5,"India",7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,56,20,"Male",7,5,6,7,3,6,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,57,19,"Female",5,4,7,6,7,6,"India",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,58,21,"Female",8,NA,6,7,4,6,"India",9
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,59,22,"Male",9,4,5,3,2,3,"India",10
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,60,25,"Male",9,6,7,6,5,7,"India",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,61,20,"Male",6,3,4,6,4,4,"India",10
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",1,1,62,21,"Male",7,5,6,5,4,7,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",1,1,63,21,"Female",7,4,5,6,5,6,"India",9
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,1,64,22,"Female",2,3,7,6,6,1,"India",12
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,65,21,"Male",8,5,6,7,6,3,"India",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,66,20,"Female",7,5,6,2,3,2,"India",4
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 40th Percentile",1,1,67,19,"Male",5,3,5,5,6,6,"India",8
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,68,19,"Male",8,5,6,5,6,4,"India",10
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",0,1,69,19,"Female",3,5,7,4,3,5,"India",5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,70,22,"Female",9,7,7,7,5,3,"India",6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 40th Percentile",0,1,71,19,"Female",5,7,3,6,6,5,"India",3
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",0,1,72,20,"Male",6,6,6,7,6,5,"India",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,73,21,"Female",4,5,7,4,4,3,"India",12
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,74,19,"Male",1,7,7,6,5,5,"India",11
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",0,1,75,19,"Female",1,3,5,4,5,3,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,1,76,22,"Male",4,5,7,5,5,5,"India",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",1,1,77,19,"Female",1,7,1,1,1,1,"India",0
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 40th Percentile",1,1,78,20,"Male",7,4,4,4,4,6,"India",1
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,79,21,"Female",6,4,5,6,3,6,"India",7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,80,21,"Male",8,5,6,6,7,6,"India",5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,81,20,"Female",5,4,6,5,7,5,"India",8
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,82,19,"Male",3,4,6,6,4,7,"India",13
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,83,21,"Female",3,7,6,6,5,5,"India",9
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,84,20,"Male",6,3,5,6,5,4,"India",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",1,1,85,22,"Female",8,6,5,4,6,5,"India",8
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,86,20,"Male",8,6,6,6,5,7,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,1,87,19,"Male",7,3,7,3,7,5,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",1,1,88,21,"Female",2,4,6,3,4,3,"India",5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",0,1,89,22,"Female",5,6,6,5,6,5,"India",7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",0,1,90,20,"Female",5,5,7,6,5,6,"India",4
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",0,1,91,44,"Female",5,5,7,5,4,5,"India",6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",1,1,92,23,"Male",8,6,6,6,5,4,"India",9
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",1,1,93,22,"Male",5,4,3,4,3,6,"India",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,94,19,"Male",7,2,4,5,4,6,"India",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",1,1,95,22,"Female",5,5,5,5,6,5,"India",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,96,25,"Male",9,6,6,6,7,6,"India",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",0,1,97,19,"Female",4,4,6,4,5,3,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 40th Percentile",1,1,98,36,"Male",6,7,7,6,5,7,"India",7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,99,22,"Male",2,7,7,5,5,5,"India",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",1,1,100,21,"Male",5,4,5,3,6,5,"India",8
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",1,1,101,21,"Male",9,6,6,6,6,7,"India",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",1,1,102,22,"Male",7,5,6,6,5,6,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,103,21,"Female",6,7,7,7,6,3,"India",8
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,104,21,"Female",5,4,6,6,6,3,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,105,23,"Male",5,4,4,4,6,6,"India",6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,106,49,"Male",8,7,6,7,6,7,"India",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,107,22,"Male",3,6,6,3,3,3,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",1,1,108,59,"Male",8,7,7,6,5,5,"India",10
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",1,1,109,21,"Male",8,5,6,7,5,7,"India",9
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,110,51,"Male",7,3,7,5,6,3,"India",12
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,111,23,"Female",8,7,7,5,5,6,"India",9
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,112,20,"Male",8,6,6,5,6,7,"India",10
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 40th Percentile",0,1,113,20,"Male",6,5,7,5,7,6,"India",12
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,114,20,"Male",6,5,5,5,5,5,"India",10
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,115,20,"Male",9,6,6,7,5,6,"India",11
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,116,23,"Male",6,5,5,6,7,5,"India",7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 60th Percentile",1,1,117,21,"Male",7,5,6,6,5,6,"India",12
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,118,21,"Male",6,5,5,6,7,6,"India",7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,119,23,"Male",9,7,6,5,6,6,"India",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,120,19,"Male",3,2,7,6,7,7,"India",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,1,121,31,"Male",5,2,4,5,4,3,"India",5
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,122,25,"Female",6,7,7,7,5,7,"India",8
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,123,24,"Male",8,6,6,6,5,7,"India",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,124,21,"Male",7,5,6,5,2,3,"India",11
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,125,21,"Female",5,2,5,5,6,7,"India",5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 90th Percentile",1,1,126,20,"Female",2,6,7,6,2,5,"India",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Restriction on Muslim immigration/tourist visas","Average international ranking of universities: 40th Percentile",1,1,127,24,"Male",9,7,6,5,6,7,"India",4
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,128,20,"Female",7,4,5,5,6,4,"India",4
